value,variants
Lohit,Lohit |Tezu |
Tezu,Tezu |
Namsai,Namsai |
Lower Dibang Valley,Lower Dibang Valley |Roing |
Roing,Roing |
Lower Subansiri,Lower Subansiri |Ziro |
Ziro,Ziro |
Raga,Raga |
Papum Pare,Papum Pare |Yupia |
Itanagar,Itanagar |
Doimukh,Doimukh |
Kimin,Kimin |
Naharlagun,Naharlagun |
Sagalee,Sagalee |
Tawang,Tawang |Tawang |
Tawang,Tawang |
Tirap,Tirap |Khonsa |
Khonsa,Khonsa |
Deomali,Deomali |
Longding,Longding |
Upper Siang,Upper Siang |Yingkiong |
Yingkiong,Yingkiong |
Mariyang,Mariyang |
Upper Subansiri,Upper Subansiri |Daporijo |
Daporijo,Daporijo |
Dumporijo,Dumporijo |
West Kameng,West Kameng |Bomdila |
Bomdila,Bomdila |
Dirang,Dirang |
West Siang,West Siang |Aalo |
Along,Along |
Aalo,Aalo |
Basar,Basar |
Anjaw,Anjaw |Hayuliang |
Hawai,Hawai |
Longding,Longding |Longding |
Longding,Longding |
Kra Daadi,Kra Daadi |Jamin |
Jamin,Jamin |
Namsai,Namsai |Namsai |
Namsai,Namsai |
Siang,Siang |Pangin |
Boleng,Boleng |
Kamle,Kamle |Raga |
Raga,Raga |
Lower Siang,Lower Siang |Likabali |
Likabali,Likabali |
Pakke Kessang,Pakke Kessang |Pakke |
Itanagar,Itanagar |
Leparada,Leparada |Basar |
Basar,Basar |
Shi Yomi,Shi Yomi |Mechuka |
Tato,Tato |
Nagaland,Nagaland |
Dimapur,Dimapur |Dimapur |
Dimapur,Dimapur |
Chumukedima,Chumukedima |
East Dimapur,East Dimapur |
Medziphema,Medziphema |
Kohima,Kohima |Kohima |
Kohima,Kohima |
Tseminyu,Tseminyu |
Mokokchung,Mokokchung |Mokokchung |
Mokokchung,Mokokchung |
Changtongya,Changtongya |
Mangkolemba,Mangkolemba |
Tuli,Tuli |
Mon,Mon |Mon |
Mon,Mon |
Aboi,Aboi |
Naginimora,Naginimora |
Tizit,Tizit |
Tobu,Tobu |
Phek,Phek |Phek |
Phek,Phek |
Chozuba,Chozuba |
Meluri,Meluri |
Pfutsero,Pfutsero |
Tuensang,Tuensang |Tuensang |
Tuensang,Tuensang |
Longkhim,Longkhim |
Noklak,Noklak |
Shamator,Shamator |
Wokha,Wokha |Wokha |
Wokha,Wokha |
Bhandari,Bhandari |
Zunheboto,Zunheboto |Zunheboto |
Zunheboto,Zunheboto |
Peren,Peren |Peren |
Peren,Peren |
Jalukie,Jalukie |
Tening,Tening |
Kiphire,Kiphire |Kiphire |
Kiphire,Kiphire |
Pungro,Pungro |
Longleng,Longleng |Longleng |
Longleng,Longleng |
Noklak,Noklak |Noklak |
Noklak,Noklak |
Manipur,Manipur |Meitrabak |
Bishnupur,Bishnupur |Bishnupur |
Bishnupur,Bishnupur |
Kumbi,Kumbi |
Kwakta,Kwakta |
Moirang,Moirang |
Ningthoukhong,Ningthoukhong |
Oinam,Oinam |
Chandel,Chandel |Chandel |
Chandel,Chandel |
Moreh,Moreh |
Churachandpur,Churachandpur |Churachandpur |
Churachandpur,Churachandpur |
Imphal East,Imphal East |Imphal East |
Porompat,Porompat |
Andro,Andro |
Jiribam,Jiribam |
Lamlai,Lamlai |
Imphal West,Imphal West |Imphal West |
Imphal,Imphal |
Lamsang,Lamsang |
Lilong,Lilong |
Mayang Imphal,Mayang Imphal |
Nambol,Nambol |
Samurou NP,Samurou NP |
Sekmai Bazar,Sekmai Bazar |
Thongkhong Laxmi Bazar,Thongkhong Laxmi Bazar |
Wangoi,Wangoi |
Senapati,Senapati |Senapati |
Senapati,Senapati |
Tamenglong,Tamenglong |Tamenglong |
Tamenglong,Tamenglong |
Thoubal,Thoubal |Thoubal |
Thoubal,Thoubal |
Heirok,Heirok |
Kakching,Kakching |
Kakching Khunou,Kakching Khunou |
Lilong,Lilong |
Sikhong Sekmai,Sikhong Sekmai |
Sugnu,Sugnu |
Wangjing,Wangjing |
Yairipok,Yairipok |
Ukhrul,Ukhrul |Ukhrul |
Ukhrul,Ukhrul |
Kakching,Kakching |Kakching |
Kakching,Kakching |
Kangpokpi,Kangpokpi |Kangpokpi |
Kangpokpi,Kangpokpi |
Jiribam,Jiribam |Jiribam |
Jiribam,Jiribam |
Noney,Noney |Noney |
Noney,Noney |
Pherzawl,Pherzawl |Pherzawl |
Pherzawl,Pherzawl |
Tengnoupal,Tengnoupal |Tengnoupal |
Tengnoupal,Tengnoupal |
Kamjong,Kamjong |Kamjong |
Kamjong,Kamjong |
Mizoram,Mizoram |
Aizawl,Aizawl |Aizawl |
Aizawl,Aizawl |
Darlawn,Darlawn |
Sairang,Sairang |
Saitual,Saitual |
Champhai,Champhai |Champhai |
Champhai,Champhai |
Biate,Biate |
Khawhai,Khawhai |
Khawzawl,Khawzawl |
Kolasib,Kolasib |Kolasib |
Kolasib,Kolasib |
Bairabi,Bairabi |
Vairengte,Vairengte |
Lawngtlai,Lawngtlai |Lawngtlai |
Lawngtlai,Lawngtlai |
Lunglei,Lunglei |Lunglei |
Lunglei,Lunglei |
Hnahthial,Hnahthial |
Tlabung,Tlabung |
Mamit,Mamit |Mamit |
Mamit,Mamit |
Lengpui,Lengpui |
Zawlnuam,Zawlnuam |
Saiha,Saiha |Saiha |
Saiha,Saiha |
Serchhip,Serchhip |Serchhip |
Serchhip,Serchhip |
North Vanlaiphai,North Vanlaiphai |
Thenzawl,Thenzawl |
Hnahthial,Hnahthial |Hnahthial |
Hnahthial,Hnahthial |
Saitual,Saitual |Saitual |
Saitual,Saitual |
Khawzawl,Khawzawl |Khawzawl |
Khawzawl,Khawzawl |
Tripura,Tripura |Kirat Desh |
Dhalai,Dhalai |Dhalai |
Ambassa,Ambassa |
Kamalpur,Kamalpur |
North Tripura,North Tripura |North Tripura |
Dharmanagar,Dharmanagar |
Kailasahar,Kailasahar |
Kumarghat,Kumarghat |
Panisagar,Panisagar |
South Tripura,South Tripura |South Tripura |
Belonia,Belonia |
Amarpur,Amarpur |
Sabroom,Sabroom |
Santir Bazar,Santir Bazar |
Udaipur,Udaipur |
West Tripura,West Tripura |West Tripura |
Agartala,Agartala |
Bishalgarh,Bishalgarh |
Jirania,Jirania |
Khowai,Khowai |
Melaghar,Melaghar |
Mohanpur,Mohanpur |
Ranirbazar,Ranirbazar |
Sonamura,Sonamura |
Teliamura,Teliamura |
Khowai,Khowai |Khowai |
Khowai,Khowai |
Sepahijala,Sepahijala |Sepahijala |
Bishramganj,Bishramganj |
Gomati,Gomati |Gomati |
Udaipur,Udaipur |
Unakoti,Unakoti |Unakoti |
Kailashahar,Kailashahar |
Meghalaya,Meghalaya |
East Garo Hills,East Garo Hills |East Garo Hills |
Williamnagar,Williamnagar |
Resubelpara,Resubelpara |
East Khasi Hills,East Khasi Hills |East Khasi Hills |
Shillong,Shillong |
Shillong CB,Shillong CB |
West Jaintia Hills,West Jaintia Hills |West Jaintia Hills |Jaintia Hills |
Jowai,Jowai |
Ri Bhoi,Ri Bhoi |Ri Bhoi |Ribhoi |
Nongpoh,Nongpoh |
South Garo Hills,South Garo Hills |South Garo Hills |
Baghmara,Baghmara |
West Garo Hills,West Garo Hills |West Garo Hills |
Tura,Tura |
West Khasi Hills,West Khasi Hills |West Khasi Hills |
Nongstoin,Nongstoin |
Mairang,Mairang |
North Garo Hills,North Garo Hills |North Garo Hills |
Resubelpara,Resubelpara |
East Jaintia Hills,East Jaintia Hills |East Jaintia Hills |
Khliehriat,Khliehriat |
South West Khasi Hills,South West Khasi Hills |South West Khasi Hills |
Mawkyrwat,Mawkyrwat |
South West Garo Hills,South West Garo Hills |South West Garo Hills |
Ampati,Ampati |
Eastern West Khasi Hills,Eastern West Khasi Hills |Eastern West Khasi Hills |
Mairang,Mairang |
Assam,Assam |Ahom Kingdom |Kamarupa |
Barpeta,Barpeta |Barpeta |
Barpeta,Barpeta |
Barpeta Road,Barpeta Road |
Howli,Howli |
Patacharkuchi,Patacharkuchi |
Pathsala,Pathsala |
Sarbhog,Sarbhog |
Sarthebari,Sarthebari |
Bongaigaon,Bongaigaon |Bongaigaon |
Bongaigaon,Bongaigaon |
Abhayapuri,Abhayapuri |
Cachar,Cachar |Cachar |
Silchar,Silchar |
Lakhipur,Lakhipur |
Sonai,Sonai |
Darrang,Darrang |Darrang |
Mangaldai,Mangaldai |
Kharupatia,Kharupatia |
Mangaldoi,Mangaldoi |
Dhemaji,Dhemaji |Dhemaji |
Dhemaji,Dhemaji |
Silapathar,Silapathar |
Dhubri,Dhubri |Dhubri |
Dhubri,Dhubri |
Bilasipara,Bilasipara |
Chapar,Chapar |
Gauripur,Gauripur |
Golokganj,Golokganj |
Sapatgram,Sapatgram |
Dibrugarh,Dibrugarh |Dibrugarh |
Dibrugarh,Dibrugarh |
Chabua,Chabua |
Naharkatiya,Naharkatiya |
Namrup,Namrup |
Goalpara,Goalpara |Goalpara |
Goalpara,Goalpara |
Lakhipur,Lakhipur |
Golaghat,Golaghat |Golaghat |
Golaghat,Golaghat |
Barpathar,Barpathar |
Bokakhat,Bokakhat |
Bokolia,Bokolia |
Dergaon,Dergaon |
Sarupathar,Sarupathar |
Hailakandi,Hailakandi |Hailakandi |
Hailakandi,Hailakandi |
Lala,Lala |
Jorhat,Jorhat |Jorhat |
Jorhat,Jorhat |
Mariani,Mariani |
Teok,Teok |
Titabor Town,Titabor Town |
Kamrup,Kamrup |Kamrup |
Guwahati,Guwahati |
Palasbari,Palasbari |
Rangia,Rangia |
Karbi Anglong,Karbi Anglong |Karbi Anglong |
Diphu,Diphu |
Baithalangso,Baithalangso |
Bokajan,Bokajan |
Dokmoka,Dokmoka |
Donkamokam,Donkamokam |
Hamren,Hamren |
Howraghat,Howraghat |
Langhin,Langhin |
Karimganj,Karimganj |Karimganj |
Karimganj,Karimganj |
Badarpur,Badarpur |
Kokrajhar,Kokrajhar |Kokrajhar |
Kokrajhar,Kokrajhar |
Gossaigaon,Gossaigaon |
Lakhimpur,Lakhimpur |Lakhimpur |Lakhimpur Kheri |
North Lakhimpur,North Lakhimpur |
Bihpuria,Bihpuria |
Dhakuakhana,Dhakuakhana |
Narayanpur,Narayanpur |
Marigaon,Marigaon |Marigaon |Morigaon |
Marigaon,Marigaon |
Nagaon,Nagaon |Nagaon |
Nagaon,Nagaon |
Dhing,Dhing |
Doboka,Doboka |
Hojai,Hojai |
Kampur Town,Kampur Town |
Lanka,Lanka |
Lumding,Lumding |
Majuli,Majuli |
Raha,Raha |
Nalbari,Nalbari |Nalbari |
Nalbari,Nalbari |
Tihu,Tihu |
Dima Hasao,Dima Hasao |Dima Hasao |
Haflong,Haflong |
Mahur,Mahur |
Maibong,Maibong |
Umrangso,Umrangso |
Sivasagar,Sivasagar |Sivasagar |
Sivasagar,Sivasagar |
Amguri,Amguri |
Demow,Demow |
Moranhat,Moranhat |
Nazira,Nazira |
Simaluguri,Simaluguri |
Sonari,Sonari |
Sonitpur,Sonitpur |Sonitpur |
Tezpur,Tezpur |
Biswanath Chariali,Biswanath Chariali |
Dhekiajuli,Dhekiajuli |
Gohpur,Gohpur |
Jamugurihat,Jamugurihat |
Rangapara,Rangapara |
Tinsukia,Tinsukia |Tinsukia |
Tinsukia,Tinsukia |
Chapakhowa Town,Chapakhowa Town |
Digboi,Digboi |
Doom Dooma,Doom Dooma |
Makum,Makum |
Margherita,Margherita |
Chirang,Chirang |Chirang |
Kajalgaon,Kajalgaon |
Basugaon,Basugaon |
Bijni,Bijni |
Baksa,Baksa |Baksa |
Mushalpur,Mushalpur |
Udalguri,Udalguri |Udalguri |
Udalguri,Udalguri |
Tangla,Tangla |
Kamrup Metro,Kamrup Metro |Kamrup Metro |Kamrup Metropolitan |
Guwahati,Guwahati |
North Guwahati,North Guwahati |
Biswanath,Biswanath |Biswanath |
Biswanath Chariali,Biswanath Chariali |
Sootea,Sootea |
Majuli,Majuli |Majuli |
Majuli,Majuli |
South Salmara Mancachar,South Salmara Mancachar |South Salmara Mancachar |
Hatsingimari,Hatsingimari |
Charaideo,Charaideo |Charaideo |
Sonari,Sonari |
Hojai,Hojai |Hojai |
Hojai,Hojai |
West Karbi Anglong,West Karbi Anglong |West Karbi Anglong |
Hamren,Hamren |
Bajali,Bajali |Bajali |
Pathsala,Pathsala |
West Bengal,West Bengal |Bengal |Paschimbanga |Paschim Banga |Bangla |
24 Paraganas North,24 Paraganas North |North 24 Parganas |North Twenty Four Parganas |
Barasat,Barasat |
Ashokenagar Kalyangarh,Ashokenagar Kalyangarh |
Baduria,Baduria |
Baranagar,Baranagar |
Barrackpore,Barrackpore |
Basirhat,Basirhat |
Bhatpara,Bhatpara |
Bidhannagar,Bidhannagar |
Bongaon,Bongaon |
Dum Dum,Dum Dum |
Garulia,Garulia |
Gobardanga,Gobardanga |
Habra,Habra |
Halisahar,Halisahar |
Kamarhati,Kamarhati |
Kanchrapara,Kanchrapara |
Khardah,Khardah |
Madhyamgram,Madhyamgram |
Naihati,Naihati |
New Barrackpore,New Barrackpore |
North Barrackpore,North Barrackpore |
North DumDum,North DumDum |
Panihati,Panihati |
South DumDum,South DumDum |
Taki,Taki |
Titagarh,Titagarh |
24 Paraganas South,24 Paraganas South |South 24 Parganas |South Twenty Four Parganas |
Diamond Harbour,Diamond Harbour |
Baruipur,Baruipur |
Budge Budge,Budge Budge |
Jaynagar Mazilpur,Jaynagar Mazilpur |
Maheshtala,Maheshtala |
Pujali,Pujali |
Rajpur Sonarpur,Rajpur Sonarpur |
Bankura,Bankura |Bankura |
Bankura,Bankura |
Bishnupur,Bishnupur |
Sonamukhi,Sonamukhi |
Purba Bardhaman,Purba Bardhaman |East Bardhaman |Barddhaman |
Bardhaman,Bardhaman |
Asansol,Asansol |
Barddhaman,Barddhaman |
Dainhat,Dainhat |
Durgapur,Durgapur |
Guskara,Guskara |
Kalna,Kalna |
Katwa,Katwa |
Memari,Memari |
Birbhum,Birbhum |Birbhum |
Suri,Suri |
Bolpur,Bolpur |
Dubrajpur,Dubrajpur |
Nalhati,Nalhati |
Rampurhat,Rampurhat |
Sainthia,Sainthia |
Coochbehar,Coochbehar |Cooch Behar |Koch Bihar |
Coochbehar,Coochbehar |
Dinhata,Dinhata |
Haldibari,Haldibari |
Koch Bihar,Koch Bihar |
Mathabhanga,Mathabhanga |
Mekliganj,Mekliganj |
Tufanganj,Tufanganj |
Darjeeling,Darjeeling |Darjeeling |Darjiling |
Darjeeling,Darjeeling |
Darjiling,Darjiling |
Kalimpong,Kalimpong |
Kurseong,Kurseong |
Mirik,Mirik |
Dinajpur Dakshin,Dinajpur Dakshin |South Dinajpur |Dakshin Dinajpur |
Balurghat,Balurghat |
Buniadpur,Buniadpur |
Gangarampur,Gangarampur |
Dinajpur Uttar,Dinajpur Uttar |North Dinajpur |Uttar Dinajpur |
Raiganj,Raiganj |
Dalkhola,Dalkhola |
Islampur,Islampur |
Kaliaganj,Kaliaganj |
Hooghly,Hooghly |Hooghly |Hugli |
Chinsurah,Chinsurah |
Arambag,Arambag |
Baidyabati,Baidyabati |
Bansberia,Bansberia |
Bhadreswar,Bhadreswar |
Champdani,Champdani |
Chandannagar,Chandannagar |
Dankuni,Dankuni |
Konnagar,Konnagar |
Rishra,Rishra |
Serampore,Serampore |
Tarakeswar,Tarakeswar |
Uttarpara Kotrung,Uttarpara Kotrung |
Howrah,Howrah |Howrah |Haora |
Howrah,Howrah |
Haora,Haora |
Uluberia,Uluberia |
Jalpaiguri,Jalpaiguri |Jalpaiguri |
Jalpaiguri,Jalpaiguri |
Alipurduar,Alipurduar |
Dhupguri,Dhupguri |
Mal,Mal |
Kolkata,Kolkata |Kolkata |
Kolkata,Kolkata |
Siliguri,Siliguri |
Maldah,Maldah |Malda |
Maldah,Maldah |
English Bazar,English Bazar |
Old Malda,Old Malda |
Medinipur East,Medinipur East |East Medinipur |Purba Medinipur |
Tamluk,Tamluk |
Contai,Contai |
Egra,Egra |
Haldia,Haldia |
Panskura,Panskura |
Medinipur West,Medinipur West |West Medinipur |Paschim Medinipur |
Medinipur,Medinipur |
Chandrakona,Chandrakona |
Ghatal,Ghatal |
Jhargram,Jhargram |
Kharagpur,Kharagpur |
Kharar,Kharar |
Khirpai,Khirpai |
Ramjibanpur,Ramjibanpur |
Murshidabad,Murshidabad |Murshidabad |
Berhampore,Berhampore |
Beldanga,Beldanga |
Dhulian,Dhulian |
Domkal,Domkal |
Jangipur,Jangipur |
Kandi,Kandi |
Murshidabad,Murshidabad |
Nadia,Nadia |Nadia |
Krishnanagar,Krishnanagar |
Birnagar,Birnagar |
Chakdaha,Chakdaha |
Cooper's Camp,Cooper's Camp |
Gayespur,Gayespur |
Haringhata Farm,Haringhata Farm |
Kalyani,Kalyani |
Nabadwip,Nabadwip |
Ranaghat,Ranaghat |
Santipur,Santipur |
Taherpur,Taherpur |
Purulia,Purulia |Purulia |Puruliya |
Purulia,Purulia |
Jhalda,Jhalda |
Puruliya,Puruliya |
Raghunathpur,Raghunathpur |
Alipurduar,Alipurduar |Alipurduar |
Alipurduar,Alipurduar |
Kalimpong,Kalimpong |Kalimpong |
Kalimpong,Kalimpong |
Jhargram,Jhargram |Jhargram |
Jhargram,Jhargram |
Paschim Bardhaman,Paschim Bardhaman |West Bardhaman |
Asansol,Asansol |
Jharkhand,Jharkhand |Vananchal |
Bokaro,Bokaro |Bokaro Steel City |
Bokaro Steel City,Bokaro Steel City |
Chas,Chas |
Gomia,Gomia |
Phusro,Phusro |
Chatra,Chatra |Chatra |
Chatra,Chatra |
Bachra,Bachra |
Deoghar,Deoghar |Deoghar |
Deoghar,Deoghar |
Madhupur,Madhupur |
Dhanbad,Dhanbad |Dhanbad |
Dhanbad,Dhanbad |
Chirkunda,Chirkunda |
Dumka,Dumka |Dumka |
Dumka,Dumka |
Basukinath,Basukinath |
East Singhbum,East Singhbum |Jamshedpur |Purbi Singhbhum |
Jamshedpur,Jamshedpur |
Adityapur,Adityapur |
Chakulia,Chakulia |
Jugsalai,Jugsalai |
Mango,Mango |
Garhwa,Garhwa |Garhwa |
Garhwa,Garhwa |
Majhion,Majhion |
Nagar Uttari,Nagar Uttari |
Giridih,Giridih |Giridih |
Giridih,Giridih |
Badki Saraiya,Badki Saraiya |
Dhanvar,Dhanvar |
Godda,Godda |Godda |
Godda,Godda |
Mahagama,Mahagama |
Gumla,Gumla |Gumla |
Gumla,Gumla |
Hazaribagh,Hazaribagh |Hazaribagh |
Hazaribagh,Hazaribagh |
Hazaribag,Hazaribag |
Jamtara,Jamtara |Jamtara |
Jamtara,Jamtara |
Mihijam,Mihijam |
Koderma,Koderma |Koderma |Kodarma |
Koderma,Koderma |
Domchanch,Domchanch |
Jhumri Tilaiya,Jhumri Tilaiya |
Kodarma,Kodarma |
Latehar,Latehar |Latehar |
Latehar,Latehar |
Lohardaga,Lohardaga |Lohardaga |
Lohardaga,Lohardaga |
Pakur,Pakur |Pakur |
Pakur,Pakur |
Pakaur,Pakaur |
Palamu,Palamu |Daltonganj |
Daltonganj,Daltonganj |
Bishrampur,Bishrampur |
Hussainabad,Hussainabad |
Medininagar,Medininagar |
Satgawan Alias Hariharganj,Satgawan Alias Hariharganj |
Ranchi,Ranchi |Ranchi |
Ranchi,Ranchi |
Bundu,Bundu |
Sahebganj,Sahebganj |Sahebganj |Sahibganj |
Sahebganj,Sahebganj |
Barharwa,Barharwa |
Rajmahal,Rajmahal |
Sahibganj,Sahibganj |
Saraikela Kharsawan,Saraikela Kharsawan |Saraikela |
Saraikela,Saraikela |
Kopali,Kopali |
Seraikela,Seraikela |
Simdega,Simdega |Simdega |
Simdega,Simdega |
West Singhbhum,West Singhbhum |Chaibasa |Pashchimi Singhbhum |
Chaibasa,Chaibasa |
Chakardharpur,Chakardharpur |
Khunti,Khunti |Khunti |
Khunti,Khunti |
Ramgarh,Ramgarh |Ramgarh |
Ramgarh,Ramgarh |
Chitar Pur,Chitar Pur |
Ramgarh Cantonment,Ramgarh Cantonment |
Odisha,Odisha |Orissa |Utkala |Utkal |Kalinga |Odia |
Anugul,Anugul |Angul |
Anugul,Anugul |
Athmallik,Athmallik |
Talcher,Talcher |
Balangir,Balangir |Balangir |
Balangir,Balangir |
Kantabanji,Kantabanji |
Patnagarh,Patnagarh |
Titlagarh,Titlagarh |
Tushura,Tushura |
Baleshwar,Baleshwar |Balasore |
Baleshwar,Baleshwar |
Jaleshwar,Jaleshwar |
Nilagiri,Nilagiri |
Soro,Soro |
Bargarh,Bargarh |Bargarh |
Bargarh,Bargarh |
Attabira,Attabira |
Barapali,Barapali |
Padmapur,Padmapur |
Bijepur,Bijepur |
Bhadrak,Bhadrak |Bhadrak |
Bhadrak,Bhadrak |
Basudebpur,Basudebpur |
Chandballi,Chandballi |
Dhamanagar,Dhamanagar |
Boudh,Boudh |Boudh |Baudh |
Boudh,Boudh |
Baudhgarh,Baudhgarh |
Cuttack,Cuttack |Cuttack |
Cuttack,Cuttack |
Athagad,Athagad |
Banki,Banki |
Choudwar,Choudwar |
Deogarh,Deogarh |Deogarh |Debagarh |
Deogarh,Deogarh |
Debagarh,Debagarh |
Dhenkanal,Dhenkanal |Dhenkanal |
Dhenkanal,Dhenkanal |
Bhuban,Bhuban |
Hindol,Hindol |
Kamakshyanagar,Kamakshyanagar |
Gajapati,Gajapati |Gajapati |
Paralakhemundi,Paralakhemundi |
Kashinagar,Kashinagar |
Ganjam,Ganjam |Ganjam |
Berhampur,Berhampur |
Asika,Asika |
Bellaguntha,Bellaguntha |
Bhanjanagar,Bhanjanagar |
Brahmapur,Brahmapur |
Buguda,Buguda |
Chhatrapur,Chhatrapur |
Chikiti,Chikiti |
Digapahandi,Digapahandi |
Ganjam,Ganjam |
Gopalpur,Gopalpur |
Hinjilicut,Hinjilicut |
Kabisurjyanagar,Kabisurjyanagar |
Khalikote,Khalikote |
Kodala,Kodala |
Polasara,Polasara |
Purusottampur,Purusottampur |
Rambha,Rambha |
Surada,Surada |
Jagatsinghapur,Jagatsinghapur |Jagatsinghpur |
Jagatsinghpur,Jagatsinghpur |
Jagatsinghapur,Jagatsinghapur |
Paradip,Paradip |
Jajapur,Jajapur |Jajpur |
Jajapur Road,Jajapur Road |
Byasanagar,Byasanagar |
Jajapur,Jajapur |
Jharsuguda,Jharsuguda |Jharsuguda |
Jharsuguda,Jharsuguda |
Belpahar,Belpahar |
Brajarajnagar,Brajarajnagar |
Kalahandi,Kalahandi |Kalahandi |
Bhawanipatna,Bhawanipatna |
Dharamgarh,Dharamgarh |
Junagarh,Junagarh |
Kesinga,Kesinga |
Nuapara,Nuapara |
Kandhamal,Kandhamal |Kandhamal |
Phulbani,Phulbani |
Baliguda,Baliguda |
Phulabani,Phulabani |
Kendrapara,Kendrapara |Kendrapara |
Kendrapara,Kendrapara |
Pattamundai,Pattamundai |
Kendujhar,Kendujhar |Keonjhar |
Kendujhar,Kendujhar |
Anandpur,Anandpur |
Barbil,Barbil |
Champua,Champua |
Joda,Joda |
Khordha,Khordha |Khordha |
Khordha,Khordha |
Balugaon,Balugaon |
Banapur,Banapur |
Bhubaneswar,Bhubaneswar |
Jatani,Jatani |
Ranapur,Ranapur |
Koraput,Koraput |Koraput |
Jeypore,Jeypore |
Jeypur,Jeypur |
Koraput,Koraput |
Kotpad,Kotpad |
Sunabeda,Sunabeda |
Malkangiri,Malkangiri |Malkangiri |
Malkangiri,Malkangiri |
Balimela,Balimela |
Mayurbhanj,Mayurbhanj |Mayurbhanj |
Baripada,Baripada |
Karanjia,Karanjia |
Rairangpur,Rairangpur |
Udala,Udala |
Nabarangpur,Nabarangpur |Nabarangpur |Nabarangapur |
Nabarangpur,Nabarangpur |
Nabarangapur,Nabarangapur |
Umarkote,Umarkote |
Nayagarh,Nayagarh |Nayagarh |
Nayagarh,Nayagarh |
Daspalla,Daspalla |
Khandapada,Khandapada |
Odagaon,Odagaon |
Nuapada,Nuapada |Nuapada |
Nuapada,Nuapada |
Khariar,Khariar |
Khariar Road,Khariar Road |
Puri,Puri |Puri |
Puri,Puri |
Konark,Konark |
Nimapada,Nimapada |
Pipili,Pipili |
Rayagada,Rayagada |Rayagada |
Rayagada,Rayagada |
Gudari,Gudari |
Gunupur,Gunupur |
Sambalpur,Sambalpur |Sambalpur |
Sambalpur,Sambalpur |
Burla,Burla |
Hirakud,Hirakud |
Kochinda,Kochinda |
Redhakhol,Redhakhol |
Sonepur,Sonepur |Subarnapur |
Sonepur,Sonepur |
Binika,Binika |
Sonapur,Sonapur |
Tarbha,Tarbha |
Sundargarh,Sundargarh |Sundargarh |
Rourkela,Rourkela |
Biramitrapur,Biramitrapur |
Rajagangapur,Rajagangapur |
Raurkela,Raurkela |
Sundargarh,Sundargarh |
Chhattisgarh,Chhattisgarh |Dakshin Kosala |Southern Kosala |South Kosala |
Bastar,Bastar |Jagdalpur |
Jagdalpur,Jagdalpur |
Bastar,Bastar |
Farasgaon,Farasgaon |
Keskal,Keskal |
Kondagaon,Kondagaon |
Bilaspur,Bilaspur |Bilaspur |
Bilaspur,Bilaspur |
Bilha,Bilha |
Bodri,Bodri |
Gaurella,Gaurella |
Kota,Kota |
Lormi,Lormi |
Malhar,Malhar |
Mungeli,Mungeli |
Pathariya,Pathariya |
Pendra,Pendra |
Ratanpur,Ratanpur |
Sakari,Sakari |
Sargaon,Sargaon |
Sirgitti,Sirgitti |
Takhatpur,Takhatpur |
Tifra,Tifra |
Dantewada,Dantewada |Dantewada |Dakshin Bastar Dantewada |
Dantewada,Dantewada |
Bade Bacheli,Bade Bacheli |
Barsur,Barsur |
Dornapal,Dornapal |
Geedam,Geedam |
Kirandul,Kirandul |
Konta,Konta |
Dhamtari,Dhamtari |Dhamtari |
Dhamtari,Dhamtari |
Aamadi,Aamadi |
Bhakhara,Bhakhara |
Kurud,Kurud |
Magarlod,Magarlod |
Nagari,Nagari |
Durg,Durg |Durg |
Durg,Durg |
Ahiwara,Ahiwara |
Arjunda,Arjunda |
Balod,Balod |
Bemetara,Bemetara |
Berla,Berla |
Bhilai Charoda,Bhilai Charoda |
Bhilai Nagar,Bhilai Nagar |
Chikhalakasa,Chikhalakasa |
Daundi Lohara,Daundi Lohara |
Devkar,Devkar |
Dhamdha,Dhamdha |
Doundi,Doundi |
Gunderdehi,Gunderdehi |
Gurur,Gurur |
Jamul,Jamul |
Kumhari,Kumhari |
Maro,Maro |
Nawagarh,Nawagarh |
Parpondi,Parpondi |
Patan,Patan |
Saja,Saja |
Utai,Utai |
Jashpur,Jashpur |Jashpur |
Jashpur,Jashpur |
Bagicha,Bagicha |
JashpurNagar,JashpurNagar |
Kotba,Kotba |
Kunkuri,Kunkuri |
Pathalgaon,Pathalgaon |
Sukma,Sukma |
Kanker,Kanker |Kanker |Uttar Bastar Kanker |
Kanker,Kanker |
Antagarh,Antagarh |
Bhanupratappur,Bhanupratappur |
Charama,Charama |
Narharpur,Narharpur |
Pakhanjur,Pakhanjur |
Kabirdham,Kabirdham |Kawardha |Kabeerdham |
Kawardha,Kawardha |
Bodla,Bodla |
Pandariya,Pandariya |
Pandatarai,Pandatarai |
Pipariya,Pipariya |
Korba,Korba |Korba |
Korba,Korba |
Chhurikala,Chhurikala |
Dipka,Dipka |
Katghora,Katghora |
Pali,Pali |
Korea,Korea |Baikunthpur |Koriya |
Baikunthpur,Baikunthpur |
Chirmiri,Chirmiri |
Jhagrakhand,Jhagrakhand |
Khongapani,Khongapani |
Manendragarh,Manendragarh |
Shivpur Charcha,Shivpur Charcha |
Mahasamund,Mahasamund |Mahasamund |
Mahasamund,Mahasamund |
Bagbahara,Bagbahara |
Basna,Basna |
Pithora,Pithora |
Saraipali,Saraipali |
Tumgaon,Tumgaon |
Raigarh,Raigarh |Raigarh |
Raigarh,Raigarh |
Baramkela,Baramkela |
